Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749226304.696520000, 18:11:44.690403000, 7, 90, 3
1749226325.069152000, 18:12:05.063036000, 10, 90, 3
1749226352.657502000, 18:12:32.650991000, 3, 90, 4
1749226371.135495000, 18:12:51.129288000, 11, 90, 2
1749226395.069438000, 18:13:15.063254000, 12, 90, 3
1749226417.074810000, 18:13:37.068616000, 26, 90, 3
1749226437.992980000, 18:13:57.986673000, 24, 90, 3
1749226457.572681000, 18:14:17.566167000, 6, 90, 4
1749226482.583505000, 18:14:42.577134000, 5, 90, 3
1749226501.628207000, 18:15:01.621974000, 18, 90, 3
1749226529.358443000, 18:15:29.352147000, 25, 90, 2
1749226547.305553000, 18:15:47.299391000, 21, 90, 3
1749226569.237423000, 18:16:09.230824000, 14, 90, 2
1749226588.666643000, 18:16:28.660354000, 13, 90, 2
1749226606.674529000, 18:16:46.668398000, 1, 90, 1
1749226631.942467000, 18:17:11.936209000, 15, 90, 2
1749226652.034709000, 18:17:32.028578000, 23, 90, 3
1749226670.285804000, 18:17:50.279333000, 2, 90, 3
1749226688.739917000, 18:18:08.733543000, 4, 90, 3
1749226706.295483000, 18:18:26.289127000, 17, 90, 2
1749226731.038872000, 18:18:51.032882000, 8, 90, 2
1749226748.936516000, 18:19:08.930293000, 20, 90, 3
1749226766.816892000, 18:19:26.809967000, 19, 90, 3
1749226784.153498000, 18:19:44.147104000, 16, 90, 1
1749226801.498626000, 18:20:01.492136000, 22, 90, 2
1749226820.769562000, 18:20:20.762584000, 9, 90, 4
