Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749229746.274674800, 19:09:06.266262600, 13, 90, 4
1749229765.430693500, 19:09:25.418459500, 9, 90, 5
1749229784.444513300, 19:09:44.435406200, 10, 90, 3
1749229803.061485400, 19:10:03.050804100, 22, 90, 3
1749229821.913936300, 19:10:21.904327900, 16, 90, 2
1749229840.677962000, 19:10:40.668566400, 8, 90, 5
1749229859.459539900, 19:10:59.449459800, 21, 90, 5
1749229877.807985900, 19:11:17.797111100, 3, 90, 5
1749229896.120566600, 19:11:36.110264600, 18, 90, 5
1749229914.296100400, 19:11:54.285488700, 19, 90, 3
1749229945.896222900, 19:12:25.887001600, 15, 90, 5
1749229963.906786800, 19:12:43.895642900, 17, 90, 2
1749229982.254431800, 19:13:02.242010300, 7, 90, 4
1749230001.126220500, 19:13:21.115244200, 5, 90, 3
1749230018.699575600, 19:13:38.687531300, 1, 90, 2
1749230044.357545000, 19:14:04.346169500, 14, 90, 4
1749230062.482377200, 19:14:22.471007500, 23, 90, 3
1749230081.100327900, 19:14:41.087909000, 12, 90, 3
1749230099.412288500, 19:14:59.399231800, 26, 90, 4
1749230116.904455800, 19:15:16.892488600, 25, 90, 4
1749230144.755954500, 19:15:44.737775700, 20, 90, 5
1749230163.319092700, 19:16:03.306604400, 4, 90, 4
1749230181.106535500, 19:16:21.095377800, 6, 90, 4
1749230198.382506200, 19:16:38.371953000, 11, 90, 3
1749230216.504676400, 19:16:56.493262000, 2, 90, 3
1749230234.129943000, 19:17:14.118805700, 24, 90, 2
