Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721663351.372118300, 17:49:10.995835100, 17, 90, 4
1721663388.140506100, 17:49:47.082208900, 6, 90, 4
1721663428.765552100, 17:50:27.731866700, 26, 90, 5
1721663474.264850300, 17:51:13.221660400, 24, 90, 4
1721663508.893776800, 17:51:47.819935700, 13, 90, 2
1721663541.730477900, 17:52:20.657324600, 12, 90, 5
1721663574.658901400, 17:52:53.593555400, 7, 90, 4
1721663615.125026600, 17:53:34.019631700, 21, 90, 5
1721663648.662526200, 17:54:07.635351200, 23, 90, 5
1721663681.699606200, 17:54:40.648604500, 3, 90, 5
1721663714.055886100, 17:55:13.026835900, 20, 90, 4
1721663748.165388100, 17:55:47.117082000, 8, 90, 4
1721663781.073170700, 17:56:20.044211000, 2, 90, 2
1721663813.899259000, 17:56:52.887697200, 1, 90, 2
1721663846.798937900, 17:57:25.770847800, 16, 90, 3
1721663884.580464200, 17:58:03.515358200, 10, 90, 3
1721663970.199823900, 17:59:29.161280900, 14, 90, 1
1721664002.875140000, 18:00:01.802336500, 4, 90, 5
1721664036.395527000, 18:00:35.362604800, 22, 90, 4
1721664071.975638500, 18:01:10.910046700, 18, 90, 5
1721664170.096572100, 18:02:49.078735300, 19, 90, 5
1721664203.029661700, 18:03:21.984065600, 9, 90, 5
1721664235.739808300, 18:03:54.702987800, 25, 90, 5
1721664269.976139800, 18:04:28.910278000, 11, 90, 2
1721664306.479430200, 18:05:05.413581600, 5, 90, 4
1721664340.121061300, 18:05:38.621795500, 15, 90, 3
