NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
17,90,35,5.469843626022339,0.091067851673473,4
6,90,40,6.761028289794922,0.05763261539991512,4
26,90,25,6.660332202911377,0.09134495258331299,5
24,90,25,6.585139274597168,0.09703691676259041,4
13,90,30,7.553009033203125,0.09545129429210317,2
12,90,34,7.619590997695923,0.09246600557256628,5
7,90,28,7.5225770473480225,0.08203564019038759,4
21,90,22,6.652528285980225,0.1024096409479777,5
23,90,23,6.62274169921875,0.09788233786821365,5
3,90,33,6.73601770401001,0.0788917283754091,5
20,90,20,7.595757007598877,0.10520667379552667,4
8,90,32,6.71790885925293,0.0769433035995021,4
2,90,9,7.194274663925171,0.13017451135735764,2
1,90,8,7.191647529602051,0.15593120858475967,2
16,90,28,6.90030837059021,0.09177978160017627,3
10,90,33,7.0100085735321045,0.07516639199975418,3
14,90,26,6.633824586868286,0.10241711139678955,1
4,90,30,6.809584856033325,0.08061796515735227,5
22,90,30,6.605386018753052,0.10177230423894422,4
18,90,17,6.5830137729644775,0.10043772178537705,5
19,90,38,7.089861869812012,0.11769632903897033,5
9,90,24,6.711206674575806,0.09523395035001966,5
25,90,24,6.621790885925293,0.10128661124936995,5
11,90,28,6.628261566162109,0.10002590438066902,2
5,90,19,6.676342725753784,0.09242617194332294,4
15,90,26,6.631620407104492,0.10184802774523126,3
