Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1746022749.263281700, 16:19:09.252860900, 1, 90, 3
1746022768.688587300, 16:19:28.677586600, 17, 90, 4
1746022788.843413300, 16:19:48.832004100, 24, 90, 4
1746022807.932740100, 16:20:07.921779100, 3, 90, 5
1746022826.748651200, 16:20:26.736803200, 25, 90, 4
1746022847.437357500, 16:20:47.426823400, 10, 90, 4
1746022867.332088300, 16:21:07.321641700, 7, 90, 3
1746022885.992239700, 16:21:25.981423200, 21, 90, 4
1746022905.206820900, 16:21:45.194833400, 26, 90, 5
1746022923.971988300, 16:22:03.960936500, 2, 90, 2
1746022955.857205200, 16:22:35.847880000, 8, 90, 2
1746022974.861438500, 16:22:54.851789000, 23, 90, 4
1746022995.216151200, 16:23:15.197890600, 5, 90, 5
1746023014.346433700, 16:23:34.334922900, 11, 90, 3
1746023035.925763200, 16:23:55.910296600, 15, 90, 4
1746023073.659645200, 16:24:33.650312900, 13, 90, 3
1746023102.954978200, 16:25:02.941962900, 4, 90, 3
1746023126.444472800, 16:25:26.432007600, 20, 90, 4
1746023143.832173000, 16:25:43.821702600, 9, 90, 3
1746023161.697971500, 16:26:01.686650500, 14, 90, 3
1746023197.023860000, 16:26:37.014623300, 18, 90, 4
1746023215.510797900, 16:26:55.500038400, 16, 90, 3
1746023234.224523800, 16:27:14.211785900, 19, 90, 5
1746023252.686473500, 16:27:32.673843200, 6, 90, 3
1746023270.681478400, 16:27:50.669900900, 22, 90, 5
1746023289.804024500, 16:28:09.793081500, 12, 90, 3
