Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1721031835.971681000, 10:23:54.911878200, 12, 90, 2
1721031875.537088900, 10:24:34.362194200, 14, 90, 3
1721031908.627509200, 10:25:07.423562000, 15, 90, 4
1721031946.452499100, 10:25:45.206272300, 19, 90, 3
1721031979.798514800, 10:26:18.491379600, 4, 90, 4
1721032015.066228500, 10:26:53.802470600, 6, 90, 3
1721032052.597267800, 10:27:31.411441800, 7, 90, 3
1721032086.024607600, 10:28:04.834055100, 1, 90, 2
1721032119.219245600, 10:28:37.968435400, 22, 90, 3
1721032151.543321400, 10:29:10.344018300, 26, 90, 3
1721032187.642789600, 10:29:46.324578600, 2, 90, 2
1721032220.235700600, 10:30:19.055469000, 9, 90, 3
1721032253.002481600, 10:30:51.820428800, 24, 90, 3
1721032311.050522700, 10:31:49.851057900, 8, 90, 4
1721032344.964802800, 10:32:23.767481800, 23, 90, 2
1721032377.848064400, 10:32:56.662682000, 3, 90, 3
1721032410.678387600, 10:33:29.483956800, 25, 90, 2
1721032443.569879700, 10:34:02.256544800, 18, 90, 3
1721032480.649194400, 10:34:39.382293200, 10, 90, 2
1721032519.664815200, 10:35:18.453702700, 17, 90, 2
1721032551.979338000, 10:35:50.788327100, 16, 90, 3
1721032585.118742900, 10:36:23.930252900, 21, 90, 2
1721032618.011491200, 10:36:56.828562100, 5, 90, 2
1721032651.003116800, 10:37:29.836493100, 13, 90, 2
1721032685.447478000, 10:38:04.248785700, 20, 90, 3
1721032718.016103200, 10:38:36.817826400, 11, 90, 1
