NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
13,90,36,6.521588563919067,0.09275819857915242,3
23,90,36,7.24121618270874,0.1026441901922226,4
20,90,50,7.3430469036102295,0.10727071762084961,5
5,90,48,6.7982800006866455,0.08851201106340457,5
10,90,49,7.300090551376343,0.08761091067873199,4
11,90,45,9.787643909454346,0.08197979699997675,5
18,90,29,6.7091064453125,0.1000434160232544,4
12,90,40,6.856882572174072,0.0991353044907252,4
1,90,23,7.3205406665802,0.15349747657775878,3
17,90,47,9.346746444702148,0.11088710053022517,5
14,90,36,9.454286336898804,0.1020816120446897,3
8,90,36,7.04161524772644,0.08126670698965749,4
26,90,52,12.650965690612793,0.0953549725668771,5
3,90,90,9.881309747695923,0.07412670850753784,5
16,90,29,7.000009059906006,0.09289275366684487,3
15,90,49,7.184390068054199,0.09806326108101086,5
7,90,31,7.570770978927612,0.07772377499362879,4
19,90,53,9.828993082046509,0.11667595682917414,5
25,90,43,6.823944568634033,0.09340250757005479,4
4,90,48,10.617761850357056,0.08312992254892985,4
22,90,56,15.961081981658936,0.0904296413064003,5
24,90,36,7.05523157119751,0.09120592883988923,4
21,90,33,6.643933296203613,0.10266422342371058,5
2,90,26,11.013063907623291,0.1495389597756522,3
9,90,64,13.760076761245728,0.06977662895665024,5
6,90,73,12.747326135635376,0.05743877092997233,4
