Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720944310.585780500, 10:05:09.344379800, 10, 90, 5
1720944394.927034100, 10:06:33.745267300, 20, 90, 5
1720944428.405409300, 10:07:07.218619300, 19, 90, 4
1720944461.915524000, 10:07:40.714187400, 22, 90, 5
1720944521.332304200, 10:08:40.182081700, 2, 90, 4
1720944597.971117500, 10:09:56.786616400, 9, 90, 5
1720944635.605463300, 10:10:34.439995300, 23, 90, 5
1720944698.197783400, 10:11:36.950635900, 12, 90, 4
1720944738.186022900, 10:12:16.879206500, 4, 90, 5
1720944782.802465800, 10:13:01.621468600, 5, 90, 5
1720944842.623598000, 10:14:01.410815900, 6, 90, 5
1720944891.674074100, 10:14:50.408056700, 1, 90, 1
1720944973.183816200, 10:16:11.990961300, 21, 90, 5
1720945016.329179700, 10:16:55.114337800, 17, 90, 3
1720945052.376106200, 10:17:31.089712100, 15, 90, 5
1720945090.617126700, 10:18:09.360969500, 14, 90, 3
1720945123.428170100, 10:18:42.163397300, 13, 90, 4
1720945359.002225200, 10:22:37.537132100, 24, 90, 3
1720945396.477903000, 10:23:15.257191900, 7, 90, 3
1720945434.121876100, 10:23:52.862964400, 8, 90, 4
1720945468.957641000, 10:24:27.757961400, 25, 90, 5
1720945516.863501300, 10:25:15.543166800, 18, 90, 5
1720945555.216118100, 10:25:54.003631600, 26, 90, 5
1720945592.603127400, 10:26:31.343048700, 16, 90, 3
1720945625.908594800, 10:27:04.719060600, 11, 90, 3
1720945680.070071400, 10:27:58.780116400, 3, 90, 4
