NumeroDeSequence,Tempo,PulsationManquee,DelaiAvantDeCommencer, DecalageMoyen,Complexite
10,90,39,6.975268363952637,0.0888208510383727,5
20,90,45,6.841936111450195,0.09715173965276674,5
19,90,22,7.000450372695923,0.09007982164621353,4
22,90,21,7.167282342910767,0.09884891365513657,5
2,90,8,7.250585556030273,0.1357888798964651,4
9,90,28,6.727344274520874,0.08849699313823993,5
23,90,48,6.692325830459595,0.10146049449318334,5
12,90,25,6.837535858154297,0.10137654967227225,4
4,90,39,9.844336032867432,0.08484826521439985,5
5,90,36,6.643356084823608,0.08304682691046532,5
6,90,38,6.615495681762695,0.057978090785798575,5
1,90,9,7.310933828353882,0.14993873802391258,1
21,90,33,6.656023025512695,0.11077694622975476,5
17,90,24,6.750954866409302,0.09966632525126139,3
15,90,40,9.648205995559692,0.08491432124918158,5
14,90,32,7.2181077003479,0.10381344386509486,3
13,90,30,7.641088247299194,0.0969093022523103,4
24,90,32,6.615702390670776,0.10086833547662806,3
7,90,29,6.884759187698364,0.08320876901799983,3
8,90,48,12.820058822631836,0.07525268844936205,4
25,90,47,12.657233476638794,0.09541602511154978,5
18,90,40,9.652669906616211,0.10919101860212244,5
26,90,40,9.713027715682983,0.09883380995856392,5
16,90,30,8.132522106170654,0.08884633028948749,3
11,90,27,7.2222559452056885,0.10067449117961683,3
3,90,32,6.622866868972778,0.07103054864065987,4
