Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1745936565.656330000, 16:22:45.650404000, 12, 90, 1
1745936598.590628000, 16:23:18.584241000, 4, 90, 3
1745936630.290148000, 16:23:50.284523000, 18, 90, 3
1745936675.803010000, 16:24:35.796809000, 25, 90, 2
1745936708.319702000, 16:25:08.312958000, 1, 90, 2
1745936762.446804000, 16:26:02.440655000, 13, 90, 2
1745936830.826337000, 16:27:10.820194000, 8, 90, 2
1745936879.416066000, 16:27:59.409835000, 2, 90, 2
1745936922.949382000, 16:28:42.943261000, 7, 90, 2
1745936989.432424000, 16:29:49.426040000, 15, 90, 2
1745937045.868055000, 16:30:45.861919000, 23, 90, 1
1745937078.133636000, 16:31:18.127283000, 22, 90, 2
1745937111.288350000, 16:31:51.281835000, 24, 90, 2
1745937146.399644000, 16:32:26.393109000, 21, 90, 2
1745937178.892807000, 16:32:58.886727000, 6, 90, 2
1745937216.461729000, 16:33:36.455638000, 26, 90, 2
1745937248.715779000, 16:34:08.709212000, 14, 90, 2
1745937281.531473000, 16:34:41.525143000, 3, 90, 2
1745937314.417108000, 16:35:14.410899000, 16, 90, 2
1745937347.193717000, 16:35:47.187569000, 11, 90, 2
1745937384.999002000, 16:36:24.991966000, 5, 90, 2
1745937417.356977000, 16:36:57.350526000, 17, 90, 2
1745937733.621674000, 16:42:13.615095000, 10, 90, 1
1745937853.383117000, 16:44:13.377227000, 9, 90, 1
1745937885.850225000, 16:44:45.843889000, 20, 90, 2
1745937917.783133000, 16:45:17.776608000, 19, 90, 1
