Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749229961.605154000, 19:12:41.599206000, 17, 90, 2
1749229978.984011000, 19:12:58.977768000, 6, 90, 1
1749229996.442757000, 19:13:16.436554000, 3, 90, 2
1749230013.489460000, 19:13:33.483314000, 11, 90, 3
1749230030.786418000, 19:13:50.780070000, 26, 90, 3
1749230047.347015000, 19:14:07.341129000, 10, 90, 4
1749230064.296586000, 19:14:24.290642000, 25, 90, 2
1749230081.522351000, 19:14:41.516364000, 20, 90, 4
1749230098.966011000, 19:14:58.959619000, 18, 90, 3
1749230115.566411000, 19:15:15.560475000, 14, 90, 4
1749230142.519882000, 19:15:42.513737000, 22, 90, 3
1749230159.410249000, 19:15:59.404347000, 16, 90, 4
1749230176.529269000, 19:16:16.522988000, 5, 90, 5
1749230193.520143000, 19:16:33.514221000, 9, 90, 4
1749230210.337209000, 19:16:50.330549000, 19, 90, 3
1749230233.176963000, 19:17:13.170896000, 24, 90, 5
1749230250.107104000, 19:17:30.100970000, 7, 90, 4
1749230266.906070000, 19:17:46.900227000, 13, 90, 3
1749230284.098850000, 19:18:04.092873000, 12, 90, 4
1749230301.153626000, 19:18:21.147189000, 2, 90, 1
1749230328.105088000, 19:18:48.098124000, 4, 90, 5
1749230344.909220000, 19:19:04.903222000, 8, 90, 4
1749230361.858075000, 19:19:21.852423000, 1, 90, 1
1749230378.471319000, 19:19:38.465163000, 21, 90, 5
1749230395.302826000, 19:19:55.296810000, 23, 90, 5
1749230412.167179000, 19:20:12.161400000, 15, 90, 4
