Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720701779.613456700, 14:42:58.483732000, 12, 90, 2
1720701848.564266200, 14:44:07.414815200, 10, 90, 4
1720701884.907180200, 14:44:43.781122400, 3, 90, 4
1720701922.887405700, 14:45:21.764089600, 15, 90, 1
1720701959.066567500, 14:45:57.961394800, 5, 90, 3
1720701993.309246200, 14:46:32.161072900, 13, 90, 2
1720702039.454072700, 14:47:18.284595100, 19, 90, 5
1720702075.063714800, 14:47:52.305774600, 14, 90, 3
1720702110.607442700, 14:48:26.996167000, 26, 90, 3
1720702146.511116900, 14:49:05.405370600, 18, 90, 2
1720702179.712785200, 14:49:38.600801500, 24, 90, 3
1720702213.808875200, 14:50:12.728636000, 4, 90, 3
1720702248.257072000, 14:50:47.124676200, 1, 90, 1
1720702281.125828000, 14:51:19.977935700, 17, 90, 1
1720702315.591075800, 14:51:54.464851400, 6, 90, 3
1720702349.692813800, 14:52:28.556971600, 8, 90, 2
1720702382.936296000, 14:53:01.771008100, 25, 90, 4
1720702420.380944800, 14:53:39.262026800, 7, 90, 3
1720702461.222213100, 14:54:20.110203600, 23, 90, 2
1720702496.985944800, 14:54:55.861470800, 9, 90, 1
1720702532.835637800, 14:55:31.706028100, 21, 90, 3
1720702566.274226800, 14:56:05.109882100, 16, 90, 2
1720702601.681565500, 14:56:40.547347900, 11, 90, 4
1720702636.234929800, 14:57:15.118393100, 20, 90, 3
1720702670.821792400, 14:57:49.717157900, 2, 90, 2
1720702706.882748800, 14:58:25.687979400, 22, 90, 4
