Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1720789672.555583500, 15:07:51.304593900, 6, 90, 3
1720789724.242081500, 15:08:43.066673900, 26, 90, 2
1720789762.231673200, 15:09:21.032196300, 19, 90, 3
1720789795.258685400, 15:09:54.065558700, 17, 90, 1
1720789828.517757400, 15:10:27.291856700, 11, 90, 3
1720789864.580715600, 15:11:03.373746500, 22, 90, 4
1720789902.031233900, 15:11:40.837811400, 13, 90, 2
1720789935.356787400, 15:12:14.128699000, 5, 90, 1
1720789968.799838500, 15:12:47.509344300, 10, 90, 1
1720790005.522055300, 15:13:24.272367400, 8, 90, 1
1720790038.755895600, 15:13:57.558292200, 23, 90, 2
1720790072.709243400, 15:14:31.484870800, 25, 90, 5
1720790125.260006900, 15:15:24.034888600, 12, 90, 1
1720790164.749008700, 15:16:03.583288400, 2, 90, 3
1720790198.011328600, 15:16:36.753954500, 15, 90, 3
1720790232.686239100, 15:17:11.442963900, 20, 90, 4
1720790267.094680200, 15:17:45.935065200, 21, 90, 4
1720790300.917081300, 15:18:19.666774400, 3, 90, 1
1720790333.785399600, 15:18:52.612134700, 14, 90, 1
1720790367.766303900, 15:19:26.579451000, 9, 90, 4
1720790401.501851300, 15:20:00.261381100, 18, 90, 3
1720790435.013197800, 15:20:33.760326200, 16, 90, 1
1720790467.758313100, 15:21:06.559494700, 4, 90, 1
1720790501.107197700, 15:21:39.860961800, 7, 90, 3
1720790534.420211500, 15:22:13.192877900, 1, 90, 2
1720790567.425614600, 15:22:46.236248100, 24, 90, 2
