Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1748884299.668372000, 19:11:39.661764000, 20, 90, 2
1748884337.910584000, 19:12:17.904356000, 5, 90, 1
1748884360.063942000, 19:12:40.057452000, 17, 90, 3
1748884380.881316000, 19:13:00.875209000, 26, 90, 4
1748884400.696007000, 19:13:20.689927000, 8, 90, 3
1748884417.843762000, 19:13:37.837280000, 16, 90, 2
1748884434.652180000, 19:13:54.646082000, 4, 90, 4
1748884454.819756000, 19:14:14.813590000, 22, 90, 3
1748884472.173978000, 19:14:32.167680000, 6, 90, 3
1748884488.810771000, 19:14:48.804391000, 18, 90, 5
1748884513.649564000, 19:15:13.643063000, 7, 90, 4
1748884532.647376000, 19:15:32.641291000, 23, 90, 4
1748884567.265654000, 19:16:07.259214000, 25, 90, 4
1748884584.435084000, 19:16:24.428940000, 1, 90, 3
1748884601.445992000, 19:16:41.439683000, 9, 90, 4
1748884626.624119000, 19:17:06.618146000, 14, 90, 2
1748884643.699795000, 19:17:23.693631000, 13, 90, 4
1748884672.224487000, 19:17:52.218233000, 10, 90, 2
1748884689.795843000, 19:18:09.789182000, 24, 90, 5
1748884708.209388000, 19:18:28.203481000, 3, 90, 4
1748884734.575154000, 19:18:54.571976000, 21, 90, 5
1748884753.037340000, 19:19:13.031301000, 19, 90, 4
1748884769.587797000, 19:19:29.580721000, 15, 90, 4
1748884786.070578000, 19:19:46.064695000, 12, 90, 4
1748884802.663478000, 19:20:02.660247000, 11, 90, 4
1748884819.490762000, 19:20:19.485189000, 2, 90, 4
