Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1749042130.736489000, 15:02:10.729879000, 12, 90, 2
1749042156.756182000, 15:02:36.749893000, 9, 90, 1
1749042181.343470000, 15:03:01.337107000, 7, 90, 5
1749042203.545570000, 15:03:23.539286000, 3, 90, 5
1749042242.578950000, 15:04:02.572885000, 18, 90, 2
1749042261.681382000, 15:04:21.675219000, 13, 90, 1
1749042284.689781000, 15:04:44.683529000, 1, 90, 1
1749042303.039893000, 15:05:03.033690000, 10, 90, 1
1749042319.782848000, 15:05:19.776834000, 23, 90, 1
1749042342.672721000, 15:05:42.667452000, 22, 90, 1
1749042369.498054000, 15:06:09.491870000, 25, 90, 1
1749042392.503129000, 15:06:32.496738000, 24, 90, 3
1749042416.487481000, 15:06:56.481266000, 2, 90, 5
1749042438.973371000, 15:07:18.967009000, 5, 90, 3
1749042460.839330000, 15:07:40.833039000, 15, 90, 2
1749042482.629981000, 15:08:02.623823000, 17, 90, 3
1749042501.001142000, 15:08:20.994874000, 4, 90, 1
1749042517.572204000, 15:08:37.566136000, 8, 90, 1
1749042533.839234000, 15:08:53.836958000, 20, 90, 1
1749042562.818161000, 15:09:22.811751000, 16, 90, 1
1749042604.639452000, 15:10:04.633533000, 6, 90, 3
1749042623.889517000, 15:10:23.883496000, 14, 90, 1
1749042646.814001000, 15:10:46.807807000, 19, 90, 5
1749042667.658436000, 15:11:07.652480000, 26, 90, 5
1749042688.136570000, 15:11:28.130544000, 21, 90, 2
1749042745.684807000, 15:12:25.678436000, 11, 90, 1
