Time Absolue, Heure actuelle, NumeroSequence, Tempo, Complexite
1745959582.131357000, 22:46:22.125595000, 19, 90, 2
1745959612.285827000, 22:46:52.279650000, 8, 90, 2
1745959629.581048000, 22:47:09.574884000, 11, 90, 1
1745959646.871486000, 22:47:26.864909000, 12, 90, 1
1745959664.166100000, 22:47:44.160895000, 18, 90, 1
1745959681.357405000, 22:48:01.350857000, 24, 90, 1
1745959724.673342000, 22:48:44.666929000, 1, 90, 1
1745959747.516370000, 22:49:07.510156000, 21, 90, 1
1745959770.504563000, 22:49:30.498568000, 20, 90, 2
1745959797.724011000, 22:49:57.717306000, 4, 90, 1
1745959832.636038000, 22:50:32.630233000, 26, 90, 2
1745959859.024783000, 22:50:59.018541000, 25, 90, 1
1745959888.075780000, 22:51:28.069230000, 16, 90, 1
1745959916.693996000, 22:51:56.687659000, 22, 90, 2
1745959933.652906000, 22:52:13.646707000, 7, 90, 2
1745959954.725554000, 22:52:34.719339000, 17, 90, 1
1745959972.118741000, 22:52:52.112453000, 6, 90, 1
1745959989.431206000, 22:53:09.424741000, 14, 90, 1
1745960005.997419000, 22:53:25.991444000, 15, 90, 2
1745960023.246382000, 22:53:43.240268000, 3, 90, 1
1745960044.208556000, 22:54:04.202087000, 9, 90, 1
1745960061.431592000, 22:54:21.425343000, 2, 90, 1
1745960078.816883000, 22:54:38.810477000, 23, 90, 1
1745960096.089442000, 22:54:56.083557000, 5, 90, 1
1745960113.335115000, 22:55:13.329060000, 10, 90, 1
1745960130.849341000, 22:55:30.842784000, 13, 90, 2
