id_participant,sequence_number,task_type,std_raw,max_phasic,area_phasic,nb_scr_peaks,signal_len
1573-1-1-002,1,Perception,0.0010320724812981638,0.0020604544226375306,0.009673846087711902,11,54
1573-1-1-002,1,Reproduction,0.001352480807644977,0.0025274819107222245,0.013530276305401817,11,54
1573-1-1-002,2,Perception,0.0008427663404499115,0.0010474966616921943,0.006959043166000043,14,54
1573-1-1-002,2,Reproduction,0.0008103867713232999,0.0016822537844589612,0.008683465862359711,15,54
1573-1-1-002,3,Perception,0.0007546527285717195,0.00198086745623126,0.009059891440885755,15,54
1573-1-1-002,3,Reproduction,0.0007729796835757392,0.0017416078381677451,0.008400446053536455,14,54
1573-1-1-002,4,Perception,0.0013361604841882475,0.0020723926609835914,0.011575072631713451,14,54
1573-1-1-002,4,Reproduction,0.000915869247808296,0.001728893741451761,0.009417666584388928,16,54
1573-1-1-002,5,Perception,0.0007812113612941683,0.001789585863057184,0.008121598456392645,10,54
1573-1-1-002,5,Reproduction,0.0009225195090148672,0.0019677305086527952,0.008720175472094792,15,54
1573-1-1-002,6,Perception,0.0012522744311488148,0.002366860703461024,0.011908260503041992,14,55
1573-1-1-002,6,Reproduction,0.0008611989290355048,0.0007249349566132254,0.007746763832613384,15,55
1573-1-1-002,7,Perception,0.0007355837430726038,0.0022583103169351608,0.0065615139232370326,10,54
1573-1-1-002,7,Reproduction,0.0013583070072431807,0.0025170307356317074,0.015876061795971237,13,54
1573-1-1-002,8,Perception,0.0009357786543762802,0.0026565517347285532,0.009907294209896758,10,54
1573-1-1-002,8,Reproduction,0.0008132631895223706,0.0021110049886623383,0.008785175201501332,12,54
1573-1-1-002,9,Perception,0.0008722905691944767,0.0022466393530109897,0.007979657029791545,12,54
1573-1-1-002,9,Reproduction,0.0007551744781541662,0.0015475136638289566,0.008606657166542816,12,54
1573-1-1-002,10,Perception,0.0009535750781654353,0.0016672142464780517,0.009320782405427289,12,54
1573-1-1-002,10,Reproduction,0.0011617491874557878,0.0013283077428757153,0.009233450463518273,13,54
1573-1-1-002,11,Perception,0.0012067442670236775,0.0029282806736711585,0.012787035575290802,14,54
1573-1-1-002,11,Reproduction,0.001020234971153036,0.0027059699595588073,0.009454869759752097,11,55
1573-1-1-002,12,Perception,0.0006020580136929096,0.002224969490417254,0.006310284701197269,14,54
1573-1-1-002,12,Reproduction,0.0007408057492307133,0.001728563245704756,0.009106535895336278,15,54
1573-1-1-002,13,Perception,0.0007208216991624703,0.0011640150069179961,0.00741829296958143,14,55
1573-1-1-002,13,Reproduction,0.0008632584641496004,0.002458571697721888,0.009787012153636851,12,54
1573-1-1-002,14,Perception,0.0009675834045284123,0.0016341341834773073,0.00976238811101103,14,54
1573-1-1-002,14,Reproduction,0.001464583908303927,0.002744762876145816,0.011935899690575505,10,55
1573-1-1-002,15,Perception,0.0007389894102235132,0.0016919999713467873,0.009567524945873422,20,54
1573-1-1-002,15,Reproduction,0.0008443993628317216,0.0016934802775755524,0.00787711997766833,11,54
1573-1-1-002,16,Perception,0.0009548561005929153,0.0017307693277518953,0.0067334152513214215,15,54
1573-1-1-002,16,Reproduction,0.0006309761280291514,0.002517641921985018,0.00819751374933133,13,54
1573-1-1-002,17,Perception,0.0008194270222044144,0.0019451367268307747,0.00839329933497909,15,54
1573-1-1-002,17,Reproduction,0.0008092874105197661,0.0019642933048084977,0.00884771086040349,13,54
1573-1-1-002,18,Perception,0.001082231023235944,0.001949126682598789,0.010798623611104315,12,54
1573-1-1-002,18,Reproduction,0.0009507142591429465,0.001966889735925116,0.009714240313576908,12,54
1573-1-1-002,19,Perception,0.0010347366576174265,0.0025110374066250217,0.008827648542410967,16,54
1573-1-1-002,19,Reproduction,0.0009873717013076727,0.0014329961700455772,0.00973257653574987,13,54
1573-1-1-002,20,Perception,0.0008615660845053166,0.0015976433309450393,0.008907724441070797,12,54
1573-1-1-002,20,Reproduction,0.0013062258522259158,0.0019382082575926628,0.011379580391370008,12,54
1573-1-1-002,21,Perception,0.0008010483351116744,0.0024148755483380463,0.008600193438717723,13,54
1573-1-1-002,21,Reproduction,0.0011190621871323368,0.002280989279871205,0.01440712827369879,12,54
1573-1-1-002,22,Perception,0.001995290617380138,0.0021644185830943675,0.012551544476865462,12,54
1573-1-1-002,22,Reproduction,0.0011469665797432848,0.0021761146875785187,0.009839912431634505,14,54
1573-1-1-002,23,Perception,0.0014227480461218303,0.00387771259450997,0.013978414477924264,11,54
1573-1-1-002,23,Reproduction,0.0009495655567524787,0.0020119347949925283,0.010336747513658777,15,54
1573-1-1-002,24,Perception,0.0007215107185792836,0.0019598855833358373,0.008306852313174497,14,55
1573-1-1-002,24,Reproduction,0.0007310106905029702,0.0010533685281749867,0.008247398317101182,12,54
1573-1-1-002,25,Perception,0.0009349823329683624,0.002239317716764524,0.00896019371185262,15,54
1573-1-1-002,25,Reproduction,0.0008980107042600921,0.0012150432287523704,0.007601953937939541,14,54
1573-1-1-002,26,Perception,0.0008529569854328102,0.002169660416087903,0.009166229455751521,15,54
1573-1-1-002,26,Reproduction,0.003393605071353397,0.016616940107149692,0.04169262192107998,3,54
1573-1-1-056,1,Perception,0.3674214408207066,0.35490798793488937,3.840689735804806,4,54
1573-1-1-056,1,Reproduction,0.10726695897786058,0.1467500925478574,0.3698434980242942,3,54
1573-1-1-056,2,Perception,0.269205879539186,0.28551534077407237,1.906849718669145,4,54
1573-1-1-056,2,Reproduction,0.11915247711947262,0.25150539800519167,0.905674587356889,3,54
1573-1-1-056,3,Perception,0.33884232000619974,1.096755796238629,2.0359484519860054,2,54
1573-1-1-056,3,Reproduction,0.038926152119902586,0.09058668040218308,0.348865709074133,3,54
1573-1-1-056,4,Perception,0.03338325506586891,0.0409107418095945,0.1748033586157593,5,54
1573-1-1-056,4,Reproduction,0.2943118027027214,0.5314685677722081,2.962875608481268,3,55
1573-1-1-056,5,Perception,0.1344157749703137,0.23973227539496605,1.2864654703427487,4,54
1573-1-1-056,5,Reproduction,0.013465444477858187,0.026291370173127396,0.12180691316302321,9,54
1573-1-1-056,6,Perception,0.018306137703776572,0.01782199158721259,0.11717442752668977,10,54
1573-1-1-056,6,Reproduction,0.24251317663929545,0.4970296423084346,1.5999105382080028,2,54
1573-1-1-056,7,Perception,0.0797017064054465,0.07698789638145435,0.586263445944731,4,54
1573-1-1-056,7,Reproduction,0.31907135260634073,0.31778938754052055,2.1333908044622634,3,54
1573-1-1-056,8,Perception,0.04438646195194876,0.05557694459585296,0.40511706985694707,3,54
1573-1-1-056,8,Reproduction,0.12756352489622275,0.07880320714266241,1.3627086116941647,5,54
1573-1-1-056,9,Perception,1.786526256348527,1.0349163445357517,5.343406422860015,1,54
1573-1-1-056,9,Reproduction,0.01772025246629223,0.021447270620231614,0.19849724609493677,6,54
1573-1-1-056,10,Perception,1.3258548833692927,0.9599186337196479,6.9807673147690945,2,54
1573-1-1-056,10,Reproduction,0.024950159320719482,0.013250345512598426,0.07907165276304237,8,54
1573-1-1-056,11,Perception,0.4532196189486432,0.9195082158137531,4.045697240257648,5,54
