+id_participant,task_type,numero_sequence,time_beginning,midi_file
+17e2921d021f90519c5f013f7a97a533c2f916df323cdb9d17c53d6e15e92c28,Perception,20,1745932407.2429233,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero20.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,4,1721043311.5938773,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero4.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,25,1721043374.0911453,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero25.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,3,1721043400.4518745,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero3.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,16,1721043423.8106852,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero16.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,6,1721043478.7300608,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero6.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,11,1721043508.3839352,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero11.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,7,1721043528.5056224,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero7.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,18,1721043556.2888033,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero18.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,12,1721043575.3238082,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero12.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,23,1721043591.24511,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero23.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,5,1721043609.3969345,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero5.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,8,1721043625.1889248,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero8.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,19,1721043643.220809,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero19.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,13,1721043676.0883965,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero13.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,2,1721043696.544639,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero2.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,1,1721043718.1579466,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero1.mid
+1ac9779606a997fda814c4efdbf784679c324f80a0b6168dd4ed089b6a951ef2,Perception,20,1721043734.7758367,Travail antérieur/Projet/Sequence/SequenceRythme/SequenceNumero20.mid
