id_participant,sequence_number,task_type,max_phasic,nb_scr_peaks,std_raw,complexity
1573-1-1-002,1,Perception,0.0020604544226375,11,0.0010320724812981,
1573-1-1-002,1,Reproduction,0.0025274819107222,11,0.0013524808076449,
1573-1-1-002,2,Perception,0.0010474966616921,14,0.0008427663404499,
1573-1-1-002,2,Reproduction,0.0016822537844589,15,0.0008103867713232,
1573-1-1-002,3,Perception,0.0019808674562312,15,0.0007546527285717,
1573-1-1-002,3,Reproduction,0.0017416078381677,14,0.0007729796835757,
1573-1-1-002,4,Perception,0.0020723926609835,14,0.0013361604841882,
1573-1-1-002,4,Reproduction,0.0017288937414517,16,0.0009158692478082,
1573-1-1-002,5,Perception,0.0017895858630571,10,0.0007812113612941,
1573-1-1-002,5,Reproduction,0.0019677305086527,15,0.0009225195090148,
1573-1-1-002,6,Perception,0.002366860703461,14,0.0012522744311488,
1573-1-1-002,6,Reproduction,0.0007249349566132,15,0.0008611989290355,
1573-1-1-002,7,Perception,0.0022583103169351,10,0.0007355837430726,
1573-1-1-002,7,Reproduction,0.0025170307356317,13,0.0013583070072431,
1573-1-1-002,8,Perception,0.0026565517347285,10,0.0009357786543762,
1573-1-1-002,8,Reproduction,0.0021110049886623,12,0.0008132631895223,
1573-1-1-002,9,Perception,0.0022466393530109,12,0.0008722905691944,
1573-1-1-002,9,Reproduction,0.0015475136638289,12,0.0007551744781541,
1573-1-1-002,10,Perception,0.001667214246478,12,0.0009535750781654,
1573-1-1-002,10,Reproduction,0.0013283077428757,13,0.0011617491874557,
1573-1-1-002,11,Perception,0.0029282806736711,14,0.0012067442670236,
1573-1-1-002,11,Reproduction,0.0027059699595588,11,0.001020234971153,
1573-1-1-002,12,Perception,0.0022249694904172,14,0.0006020580136929,
1573-1-1-002,12,Reproduction,0.0017285632457047,15,0.0007408057492307,
1573-1-1-002,13,Perception,0.0011640150069179,14,0.0007208216991624,
1573-1-1-002,13,Reproduction,0.0024585716977218,12,0.0008632584641496,
1573-1-1-002,14,Perception,0.0016341341834773,14,0.0009675834045284,
1573-1-1-002,14,Reproduction,0.0027447628761458,10,0.0014645839083039,
1573-1-1-002,15,Perception,0.0016919999713467,20,0.0007389894102235,
1573-1-1-002,15,Reproduction,0.0016934802775755,11,0.0008443993628317,
1573-1-1-002,16,Perception,0.0017307693277518,15,0.0009548561005929,
1573-1-1-002,16,Reproduction,0.002517641921985,13,0.0006309761280291,
1573-1-1-002,17,Perception,0.0019451367268307,15,0.0008194270222044,
1573-1-1-002,17,Reproduction,0.0019642933048084,13,0.0008092874105197,
1573-1-1-002,18,Perception,0.0019491266825987,12,0.0010822310232359,
1573-1-1-002,18,Reproduction,0.0019668897359251,12,0.0009507142591429,
1573-1-1-002,19,Perception,0.002511037406625,16,0.0010347366576174,
1573-1-1-002,19,Reproduction,0.0014329961700455,13,0.0009873717013076,
1573-1-1-002,20,Perception,0.001597643330945,12,0.0008615660845053,
1573-1-1-002,20,Reproduction,0.0019382082575926,12,0.0013062258522259,
1573-1-1-002,21,Perception,0.002414875548338,13,0.0008010483351116,
1573-1-1-002,21,Reproduction,0.0022809892798712,12,0.0011190621871323,
1573-1-1-002,22,Perception,0.0021644185830943,12,0.0019952906173801,
1573-1-1-002,22,Reproduction,0.0021761146875785,14,0.0011469665797432,
1573-1-1-002,23,Perception,0.0038777125945099,11,0.0014227480461218,
1573-1-1-002,23,Reproduction,0.0020119347949925,15,0.0009495655567524,
1573-1-1-002,24,Perception,0.0019598855833358,14,0.0007215107185792,
1573-1-1-002,24,Reproduction,0.0010533685281749,12,0.0007310106905029,
1573-1-1-002,25,Perception,0.0022393177167645,15,0.0009349823329683,
1573-1-1-002,25,Reproduction,0.0012150432287523,14,0.00089801070426,
1573-1-1-002,26,Perception,0.0021696604160879,15,0.0008529569854328,
1573-1-1-002,26,Reproduction,0.0166169401071496,3,0.0033936050713533,
1573-1-1-056,1,Perception,0.3549079879348893,4,0.3674214408207066,
1573-1-1-056,1,Reproduction,0.1467500925478574,3,0.1072669589778605,
1573-1-1-056,2,Perception,0.2855153407740723,4,0.269205879539186,
1573-1-1-056,2,Reproduction,0.2515053980051916,3,0.1191524771194726,
1573-1-1-056,3,Perception,1.096755796238629,2,0.3388423200061997,
1573-1-1-056,3,Reproduction,0.090586680402183,3,0.0389261521199025,
1573-1-1-056,4,Perception,0.0409107418095945,5,0.0333832550658689,
1573-1-1-056,4,Reproduction,0.5314685677722081,3,0.2943118027027214,
1573-1-1-056,5,Perception,0.239732275394966,4,0.1344157749703137,
1573-1-1-056,5,Reproduction,0.0262913701731273,9,0.0134654444778581,
1573-1-1-056,6,Perception,0.0178219915872125,10,0.0183061377037765,
1573-1-1-056,6,Reproduction,0.4970296423084346,2,0.2425131766392954,
1573-1-1-056,7,Perception,0.0769878963814543,4,0.0797017064054465,
1573-1-1-056,7,Reproduction,0.3177893875405205,3,0.3190713526063407,
1573-1-1-056,8,Perception,0.0555769445958529,3,0.0443864619519487,
1573-1-1-056,8,Reproduction,0.0788032071426624,5,0.1275635248962227,
1573-1-1-056,9,Perception,1.0349163445357517,1,1.786526256348527,
1573-1-1-056,9,Reproduction,0.0214472706202316,6,0.0177202524662922,
1573-1-1-056,10,Perception,0.959918633719648,2,1.3258548833692927,
1573-1-1-056,10,Reproduction,0.0132503455125984,8,0.0249501593207194,
1573-1-1-056,11,Perception,0.9195082158137532,5,0.4532196189486432,
1573-1-1-056,11,Reproduction,0.8687399843212287,4,0.7715905232463787,
1573-1-1-056,12,Perception,0.0505239511226897,6,0.0230226643959277,
1573-1-1-056,12,Reproduction,1.0330722975079818,2,1.125708065723581,
1573-1-1-056,13,Perception,0.1171679330426585,5,0.1199692353693483,
1573-1-1-056,13,Reproduction,0.0850736336533948,3,0.0753757380888981,
1573-1-1-056,14,Perception,0.5916878201492624,1,0.7320877706606294,
1573-1-1-056,14,Reproduction,0.1027349101360282,3,0.1068781093774094,
1573-1-1-056,15,Perception,0.1376547264923875,4,0.1319126330890901,
1573-1-1-056,15,Reproduction,0.086697422969369,5,0.0541090965193366,
1573-1-1-056,16,Perception,0.9957546300103192,1,1.457943141045602,
