id_participant,task_type,sequence_number,timestamp,eda_value
1573-1-1-002,Perception,1,1749493404.325781,0.099612
1573-1-1-002,Perception,1,1749493404.575762,0.099641
1573-1-1-002,Perception,1,1749493404.825743,0.099919
1573-1-1-002,Perception,1,1749493405.075724,0.100373
1573-1-1-002,Perception,1,1749493405.325705,0.100036
1573-1-1-002,Perception,1,1749493405.575686,0.098499
1573-1-1-002,Perception,1,1749493405.825666,0.098192
1573-1-1-002,Perception,1,1749493406.075648,0.100431
1573-1-1-002,Perception,1,1749493406.325629,0.099582
1573-1-1-002,Perception,1,1749493406.575609,0.099729
1573-1-1-002,Perception,1,1749493406.82559,0.100446
1573-1-1-002,Perception,1,1749493407.075571,0.099978
1573-1-1-002,Perception,1,1749493407.325552,0.100578
1573-1-1-002,Perception,1,1749493407.575533,0.102246
1573-1-1-002,Perception,1,1749493407.825514,0.102525
1573-1-1-002,Perception,1,1749493408.075495,0.100402
1573-1-1-002,Perception,1,1749493408.325476,0.100768
1573-1-1-002,Perception,1,1749493408.575457,0.100373
1573-1-1-002,Perception,1,1749493408.825438,0.099963
1573-1-1-002,Perception,1,1749493409.075419,0.100183
1573-1-1-002,Perception,1,1749493409.3254,0.101324
1573-1-1-002,Perception,1,1749493409.575381,0.101719
1573-1-1-002,Perception,1,1749493409.825362,0.1015
1573-1-1-002,Perception,1,1749493410.075343,0.101573
1573-1-1-002,Perception,1,1749493410.325324,0.100534
1573-1-1-002,Perception,1,1749493410.575305,0.100578
1573-1-1-002,Perception,1,1749493410.825286,0.100446
1573-1-1-002,Perception,1,1749493411.075267,0.100519
1573-1-1-002,Perception,1,1749493411.325248,0.099875
1573-1-1-002,Perception,1,1749493411.575228,0.099524
1573-1-1-002,Perception,1,1749493411.82521,0.101646
1573-1-1-002,Perception,1,1749493412.075191,0.101515
1573-1-1-002,Perception,1,1749493412.325171,0.101793
1573-1-1-002,Perception,1,1749493412.575152,0.102715
1573-1-1-002,Perception,1,1749493412.825133,0.100519
1573-1-1-002,Perception,1,1749493413.075114,0.101617
1573-1-1-002,Perception,1,1749493413.325095,0.100827
1573-1-1-002,Perception,1,1749493413.575076,0.101397
