id_participant,sequence_number,task_type,std_raw,max_phasic,area_phasic,nb_scr_peaks,signal_len
1573-1-1-056,1,Perception,0.3674214408207066,0.35490798793488937,3.840689735804806,4,54
1573-1-1-056,1,Reproduction,0.10726695897786058,0.1467500925478574,0.3698434980242942,3,54
1573-1-1-056,2,Perception,0.269205879539186,0.28551534077407237,1.906849718669145,4,54
1573-1-1-056,2,Reproduction,0.11915247711947262,0.25150539800519167,0.905674587356889,3,54
1573-1-1-056,3,Perception,0.33884232000619974,1.096755796238629,2.0359484519860054,2,54
1573-1-1-056,3,Reproduction,0.038926152119902586,0.09058668040218308,0.348865709074133,3,54
1573-1-1-056,4,Reproduction,0.2943118027027214,0.5314685677722081,2.962875608481268,3,55
1573-1-1-056,5,Perception,0.1344157749703137,0.23973227539496605,1.2864654703427487,4,54
1573-1-1-056,6,Reproduction,0.24251317663929545,0.4970296423084346,1.5999105382080028,2,54
1573-1-1-056,7,Perception,0.0797017064054465,0.07698789638145435,0.586263445944731,4,54
1573-1-1-056,7,Reproduction,0.31907135260634073,0.31778938754052055,2.1333908044622634,3,54
1573-1-1-056,8,Perception,0.04438646195194876,0.05557694459585296,0.40511706985694707,3,54
1573-1-1-056,8,Reproduction,0.12756352489622275,0.07880320714266241,1.3627086116941647,5,54
1573-1-1-056,9,Perception,1.786526256348527,1.0349163445357517,5.343406422860015,1,54
1573-1-1-056,10,Perception,1.3258548833692927,0.9599186337196479,6.9807673147690945,2,54
1573-1-1-056,11,Perception,0.4532196189486432,0.9195082158137531,4.045697240257648,5,54
1573-1-1-056,11,Reproduction,0.7715905232463787,0.8687399843212287,5.918690502266986,4,54
1573-1-1-056,12,Perception,0.023022664395927706,0.050523951122689745,0.2608739530861168,6,54
1573-1-1-056,12,Reproduction,1.125708065723581,1.0330722975079818,7.068431696777141,2,54
1573-1-1-056,13,Perception,0.11996923536934839,0.11716793304265855,0.9165922571673452,5,55
1573-1-1-056,13,Reproduction,0.0753757380888981,0.08507363365339482,0.5259828546954999,3,54
1573-1-1-056,14,Perception,0.7320877706606294,0.5916878201492624,3.369692074169089,1,54
1573-1-1-056,14,Reproduction,0.10687810937740948,0.10273491013602823,0.6771777591658343,3,54
1573-1-1-056,15,Perception,0.1319126330890901,0.13765472649238752,0.9662300510939454,4,54
1573-1-1-056,15,Reproduction,0.05410909651933666,0.086697422969369,0.4563776894146468,5,54
1573-1-1-056,16,Perception,1.4579431410456019,0.9957546300103192,7.0207814311423045,1,55
1573-1-1-056,16,Reproduction,0.02422896683392638,0.051357313627438214,0.2414993565941498,5,54
1573-1-1-056,17,Perception,0.2086696031948978,0.8271143630372695,2.8494967906326623,1,54
1573-1-1-056,17,Reproduction,0.2358001939550467,0.22653322197798245,1.3887029873993355,4,54
1573-1-1-056,18,Perception,0.26865698935021753,0.26116997529353914,2.045202032124967,4,54
1573-1-1-056,18,Reproduction,0.46889489683887337,0.6089919181402016,4.972677840369409,3,54
1573-1-1-056,19,Perception,0.18620414714238315,0.31210356214301604,1.271329901640406,5,54
1573-1-1-056,19,Reproduction,0.9195841170232376,0.8352605998469461,4.459648259495954,5,54
1573-1-1-056,20,Perception,0.2645963007394816,0.12234133563353902,0.8089146121598993,3,54
1573-1-1-056,20,Reproduction,0.6625101294313009,0.5822981594542663,5.374636720440234,6,55
1573-1-1-056,21,Perception,0.2654926213443975,0.21190760592375368,2.1885518939267,3,54
1573-1-1-056,21,Reproduction,1.0846576910181487,1.1140658185465722,7.41255942602666,1,54
1573-1-1-056,22,Perception,0.2719927320655092,0.2500807871233566,1.9796339392920803,3,54
1573-1-1-056,22,Reproduction,1.1371073178528819,0.9826598294689177,7.390477449419263,2,54
1573-1-1-056,23,Perception,1.3548743979914126,1.1820278363229706,7.697651443326514,1,54
1573-1-1-056,23,Reproduction,0.06529591699526664,0.06708896973744433,0.4874543710327975,3,54
1573-1-1-056,24,Perception,0.055009161169515465,0.06595712852039626,0.41493319628307335,5,54
1573-1-1-056,24,Reproduction,0.1355320354280919,0.3033280365757709,0.7768236613033099,1,54
1573-1-1-056,25,Perception,0.5242394371902334,0.4520770231818163,2.5706221515653445,3,54
1573-1-1-056,25,Reproduction,0.5686932473636512,0.43139771250440095,4.5917009738877255,4,54
1573-1-1-056,26,Perception,0.09598837268504401,0.050183836533192056,1.0832145035228844,7,54
1573-1-1-13,18,Reproduction,0.023424313270425132,0.09873800671431764,0.1755042903622827,1,54
1573-1-1-31,1,Reproduction,0.663061768429221,0.4928414397517945,1.9324873042091881,4,55
1573-1-1-31,2,Perception,0.22754442014494766,0.3596752739712289,1.5492462080937364,4,54
1573-1-1-31,2,Reproduction,0.3984233433029735,0.4757725479414988,3.783128273503714,2,54
1573-1-1-31,3,Perception,0.11329072820582015,0.10710440996365304,0.9833756580395814,5,54
1573-1-1-31,4,Perception,0.06772224125839574,0.08726360599921448,0.2831492830613254,1,54
1573-1-1-31,4,Reproduction,0.11405012610661978,0.1771061587436757,1.198325335526749,5,54
1573-1-1-31,5,Perception,0.07231092245796529,0.11942034877561306,0.502934393227296,4,54
1573-1-1-31,5,Reproduction,0.10606030208969167,0.22704619388410557,0.7130096285684916,4,54
1573-1-1-31,6,Perception,0.11612481690810693,0.1071206846977286,0.5583055280778251,7,54
1573-1-1-31,6,Reproduction,0.1599997871936566,0.16940226636006672,0.9241990685142536,4,54
1573-1-1-31,8,Reproduction,0.7434155676196598,0.7990833354140675,3.4984046409495324,1,55
1573-1-1-31,9,Perception,0.11325252202653312,0.11727304368547067,0.7890138467185307,4,54
1573-1-1-31,10,Perception,0.07897193268446331,0.13351869338490657,1.0817858267073492,2,54
1573-1-1-31,10,Reproduction,0.16167417704363077,0.1732464340351329,1.6301285619089805,4,54
1573-1-1-31,11,Reproduction,0.2717742451056072,0.20637219374973903,1.1900029307652311,5,55
1573-1-1-31,12,Perception,0.08793678093042188,0.14625133756052497,0.6853613741181744,2,54
1573-1-1-31,12,Reproduction,0.1671856173216336,0.30341017825655625,1.4579840766373808,3,54
1573-1-1-31,13,Perception,0.12638376206940047,0.2498813046161219,1.1822909756620137,2,54
1573-1-1-31,13,Reproduction,0.11170610508781327,0.18479713550915416,0.7670303942404622,2,55
1573-1-1-31,14,Perception,0.23837910524702774,0.2814180163416844,2.270822755404426,1,55
1573-1-1-31,14,Reproduction,0.8520961546958707,0.8728520971659837,6.132252380292987,1,55
1573-1-1-31,15,Perception,0.08700472453004511,0.15264891601226277,0.9052762117625851,3,54
1573-1-1-31,15,Reproduction,0.4578638195318718,0.9502273384424711,4.0961215604028265,2,54
1573-1-1-31,16,Reproduction,0.16147549569239483,0.11392838346059574,0.9429765194233374,5,54
1573-1-1-31,17,Reproduction,0.43973116612430374,0.5412686488744366,4.718390736254567,3,55
1573-1-1-31,18,Reproduction,0.459032398972641,0.4992605781529477,4.753695484655626,5,54
1573-1-1-31,19,Perception,0.03644814036277189,0.08308282569755812,0.31173390655482824,3,54
1573-1-1-31,19,Reproduction,0.11264427904172618,0.1323330082773682,0.8936664589030724,2,54
1573-1-1-31,20,Perception,0.11513287960284707,0.1390685369208751,0.7163540280303213,2,54
1573-1-1-31,21,Reproduction,0.08589623336466888,0.07982864570488432,0.9621178474733901,5,54
1573-1-1-31,22,Perception,0.06836511288154386,0.23299802328719826,0.6334930083835927,3,54
1573-1-1-31,23,Perception,0.24633964947122883,0.3226767130494974,2.105853375538169,4,55
1573-1-1-31,23,Reproduction,0.25057787820802596,0.3310210273451971,1.8544259122686142,7,55
1573-1-1-31,24,Perception,0.20309785389074078,0.19413123389550904,2.005913265827804,4,54
1573-1-1-31,24,Reproduction,0.1491317863710651,0.13040764535287494,1.6031234519381152,3,54
1573-1-1-31,25,Perception,0.1796457023395427,0.6539023933213924,2.503708110822937,3,54
1573-1-1-31,25,Reproduction,0.12223121121938575,0.2039359490398627,1.207404299628633,5,54
1573-1-1-31,26,Perception,0.04554430498424417,0.07029074158104154,0.7150416728301913,4,55
1573-1-1-31,26,Reproduction,0.3671042017326792,0.49357227210392024,1.5853704201971919,4,54
