id_participant,task_type,numero_sequence,time_beginning,time_ending
1573-1-1-13,Perception,8,1749505577.6837983,1749505591.2401545
1573-1-1-13,Perception,17,1749505594.9068644,1749505608.4632204
1573-1-1-13,Perception,6,1749505612.973071,1749505626.529427
1573-1-1-13,Perception,20,1749505636.148343,1749505649.704699
1573-1-1-13,Perception,26,1749505659.413571,1749505672.9699268
1573-1-1-13,Perception,4,1749505686.1380942,1749505699.69445
1573-1-1-13,Perception,5,1749505701.192648,1749505714.749004
1573-1-1-13,Perception,14,1749505724.2449186,1749505737.8012743
1573-1-1-13,Perception,3,1749505739.4779418,1749505753.0342977
1573-1-1-13,Perception,22,1749505760.900354,1749505774.45671
1573-1-1-13,Perception,13,1749505786.8045774,1749505800.3609333
1573-1-1-13,Perception,25,1749505802.8748558,1749505816.4312117
1573-1-1-13,Perception,12,1749505825.6817424,1749505839.2380984
1573-1-1-13,Perception,15,1749505843.75763,1749505857.3139858
1573-1-1-13,Perception,16,1749505865.3976426,1749505878.9539986
1573-1-1-13,Perception,24,1749505888.8705418,1749505902.4268978
1573-1-1-13,Perception,10,1749505907.1491537,1749505920.7055097
1573-1-1-13,Perception,2,1749505921.3038585,1749505934.8602142
1573-1-1-13,Perception,18,1749505938.4595697,1749505952.0159254
1573-1-1-13,Perception,7,1749505958.7871337,1749505972.3434894
1573-1-1-13,Perception,1,1749505979.9252071,1749505993.481563
1573-1-1-13,Perception,21,1749505998.705867,1749506012.262223
1573-1-1-13,Perception,23,1749506020.2347033,1749506033.7910593
1573-1-1-13,Perception,11,1749506034.5646057,1749506048.1209617
1573-1-1-13,Perception,19,1749506051.5130036,1749506065.0693595
1573-1-1-13,Perception,9,1749506066.4807625,1749506080.0371184
1573-1-1-13,Reproduction,16,1749506105.8429196,1749506119.3992755
1573-1-1-13,Reproduction,23,1749506124.890162,1749506138.446518
1573-1-1-13,Reproduction,19,1749506143.6692705,1749506157.2256265
1573-1-1-13,Reproduction,6,1749506162.0899236,1749506175.6462796
1573-1-1-13,Reproduction,11,1749506180.2268572,1749506193.7832131
1573-1-1-13,Reproduction,15,1749506197.355662,1749506210.912018
1573-1-1-13,Reproduction,26,1749506214.4096668,1749506227.9660227
1573-1-1-13,Reproduction,13,1749506233.07662,1749506246.632976
1573-1-1-13,Reproduction,5,1749506250.6246738,1749506264.1810298
1573-1-1-13,Reproduction,25,1749506268.303213,1749506281.8595688
1573-1-1-13,Reproduction,17,1749506295.5472622,1749506309.103618
1573-1-1-13,Reproduction,24,1749506313.650586,1749506327.206942
1573-1-1-13,Reproduction,10,1749506331.313971,1749506344.870327
1573-1-1-13,Reproduction,18,1749506349.2735188,1749506362.8298748
1573-1-1-13,Reproduction,22,1749506370.6543608,1749506384.2107167
1573-1-1-13,Reproduction,20,1749506393.9678502,1749506407.5242062
1573-1-1-13,Reproduction,14,1749506411.733779,1749506425.290135
1573-1-1-13,Reproduction,8,1749506430.3007717,1749506443.8571274
1573-1-1-13,Reproduction,21,1749506446.834043,1749506460.390399
1573-1-1-13,Reproduction,2,1749506464.451873,1749506478.008229
1573-1-1-13,Reproduction,3,1749506486.9228902,1749506500.479246
1573-1-1-13,Reproduction,1,1749506504.4667056,1749506518.0230615
1573-1-1-13,Reproduction,9,1749506521.5227003,1749506535.0790565
1573-1-1-13,Reproduction,12,1749506538.8071697,1749506552.3635256
1573-1-1-13,Reproduction,7,1749506556.6377249,1749506570.1940808
1573-1-1-13,Reproduction,4,1749506573.6778677,1749506587.2342236
1573-1-1-002,Perception,22,1749493167.1477842,1749493180.7041402
1573-1-1-002,Perception,9,1749493186.6390052,1749493200.1953611
1573-1-1-002,Perception,21,1749493205.131001,1749493218.687357
1573-1-1-002,Perception,10,1749493226.6654792,1749493240.2218351
1573-1-1-002,Perception,19,1749493241.4685402,1749493255.024896
1573-1-1-002,Perception,11,1749493263.2770562,1749493276.8334122
1573-1-1-002,Perception,23,1749493281.6442604,1749493295.2006164
1573-1-1-002,Perception,13,1749493304.295207,1749493317.851563
1573-1-1-002,Perception,25,1749493318.952166,1749493332.508522
1573-1-1-002,Perception,26,1749493341.9055426,1749493355.4618986
1573-1-1-002,Perception,14,1749493363.505539,1749493377.061895
1573-1-1-002,Perception,5,1749493385.5948963,1749493399.1512525
1573-1-1-002,Perception,1,1749493404.2351956,1749493417.7915516
1573-1-1-002,Perception,18,1749493425.1936958,1749493438.7500515
