timestamp,eda_value
1749505577.695753,0.070293
1749505577.945736,0.070249
1749505578.195719,0.071420
1749505578.445702,0.070908
1749505578.695685,0.070879
1749505578.945668,0.071552
1749505579.195651,0.071786
1749505579.445634,0.071742
1749505579.695617,0.073103
1749505579.945600,0.074231
1749505580.195583,0.074406
1749505580.445566,0.073674
1749505580.695549,0.071127
1749505580.945532,0.072986
1749505581.195515,0.072577
1749505581.445498,0.073103
1749505581.695482,0.070557
1749505581.945465,0.071157
1749505582.195448,0.071464
1749505582.445431,0.071054
1749505582.695414,0.073016
1749505582.945397,0.071318
1749505583.195380,0.071581
1749505583.445363,0.071376
1749505583.695346,0.070396
1749505583.945329,0.071962
1749505584.195312,0.072328
1749505584.445295,0.072884
1749505584.695278,0.071757
1749505584.945261,0.072562
1749505585.195244,0.071552
1749505585.445227,0.071479
1749505585.695210,0.072430
1749505585.945193,0.073279
1749505586.195176,0.072269
1749505586.445159,0.072650
1749505586.695143,0.073147
1749505586.945125,0.071845
1749505587.195108,0.072020
1749505587.445091,0.071435
1749505587.695075,0.072869
1749505587.945058,0.072752
1749505588.195041,0.072503
1749505588.445024,0.071728
1749505588.695007,0.073103
1749505588.944990,0.072869
1749505589.194973,0.072591
1749505589.444956,0.072664
1749505589.694939,0.072533
1749505589.944922,0.073206
1749505590.194905,0.073060
1749505590.444888,0.073074
1749505590.694871,0.072913
1749505590.944854,0.072137
1749505591.194837,0.072020
1749505594.944583,0.061994
1749505595.194566,0.068756
1749505595.444549,0.068668
1749505595.694532,0.069122
1749505595.944515,0.067673
1749505596.194498,0.069386
1749505596.444481,0.068273
1749505596.694464,0.068258
1749505596.944447,0.068244
1749505597.194430,0.066429
1749505597.444413,0.067380
1749505597.694396,0.067190
1749505597.944379,0.069488
1749505598.194362,0.068258
1749505598.444345,0.068493
1749505598.694329,0.069093
1749505598.944312,0.068888
1749505599.194295,0.069005
1749505599.444278,0.066970
1749505599.694261,0.068698
1749505599.944244,0.068727
1749505600.194227,0.069210
1749505600.444210,0.067893
1749505600.694193,0.068332
1749505600.944176,0.068258
1749505601.194159,0.068493
1749505601.444142,0.069078
1749505601.694125,0.069195
1749505601.944108,0.068156
1749505602.194091,0.067849
1749505602.444074,0.067527
1749505602.694057,0.069664
1749505602.944040,0.069517
1749505603.194023,0.068112
1749505603.444006,0.067497
1749505603.693989,0.068771
1749505603.943972,0.067995
1749505604.193955,0.068317
1749505604.443938,0.067234
1749505604.693922,0.069020
1749505604.943905,0.069151
1749505605.193888,0.068405
1749505605.443871,0.068405
1749505605.693854,0.067644
1749505605.943837,0.067658
1749505606.193820,0.068171
1749505606.443803,0.067995
1749505606.693786,0.070571
1749505606.943769,0.070293
1749505607.193752,0.068010
1749505607.443735,0.067834
1749505607.693718,0.068785
1749505607.943701,0.069356
1749505608.193684,0.069254
1749505608.443667,0.069590
1749505613.193345,0.069371
1749505613.443328,0.067424
1749505613.693311,0.068434
1749505613.943294,0.068493
1749505614.193277,0.068346
1749505614.443260,0.067614
1749505614.693243,0.065960
1749505614.943226,0.066604
1749505615.193209,0.068405
1749505615.443192,0.067863
1749505615.693176,0.068141
1749505615.943159,0.067629
1749505616.193141,0.066004
1749505616.443125,0.067044
1749505616.693108,0.066517
1749505616.943091,0.067014
1749505617.193074,0.067819
1749505617.443057,0.067702
1749505617.693040,0.068771
1749505617.943023,0.068493
1749505618.193006,0.069107
1749505618.442989,0.068815
1749505618.692972,0.069459
1749505618.942955,0.067395
1749505619.192938,0.066970
1749505619.442921,0.067029
1749505619.692904,0.068668
1749505619.942887,0.068258
1749505620.192870,0.068185
1749505620.442853,0.065492
1749505620.692836,0.066634
1749505620.942819,0.067658
1749505621.192802,0.066970
1749505621.442786,0.066941
1749505621.692769,0.066502
1749505621.942752,0.066897
1749505622.192735,0.066341
1749505622.442718,0.066941
1749505622.692701,0.066502
1749505622.942684,0.067497
1749505623.192667,0.067644
1749505623.442650,0.069195
1749505623.692633,0.067936
1749505623.942616,0.068478
1749505624.192599,0.067146
1749505624.442582,0.067746
1749505624.692565,0.067146
1749505624.942548,0.067673
1749505625.192531,0.069064
1749505625.442514,0.069137
1749505625.692497,0.068668
1749505625.942480,0.067614
1749505626.192463,0.067219
1749505626.442446,0.069195
1749505636.191785,0.068507
1749505636.441768,0.069781
1749505636.691751,0.070088
1749505636.941734,0.069517
1749505637.191717,0.067629
1749505637.441700,0.068756
1749505637.691683,0.068390
1749505637.941666,0.068112
1749505638.191649,0.070352
1749505638.441633,0.066795
1749505638.691616,0.068273
1749505638.941598,0.068493
1749505639.191581,0.068039
1749505639.441565,0.066517
1749505639.691548,0.068112
1749505639.941531,0.067014
1749505640.191514,0.069005
1749505640.441497,0.067585
1749505640.691480,0.067658
1749505640.941463,0.066136
1749505641.191446,0.067746
1749505641.441429,0.067600
1749505641.691412,0.068200
1749505641.941395,0.067629
1749505642.191378,0.068727
1749505642.441361,0.068185
1749505642.691344,0.068332
1749505642.941327,0.067995
1749505643.191310,0.066443
1749505643.441293,0.066619
1749505643.691276,0.067117
1749505643.941259,0.068449
1749505644.191242,0.069093
1749505644.441226,0.066385
1749505644.691209,0.066443
1749505644.941192,0.067658
1749505645.191175,0.065931
1749505645.441158,0.066092
1749505645.691141,0.065302
1749505645.941124,0.066751
1749505646.191107,0.066517
1749505646.441090,0.066809
1749505646.691073,0.065536
1749505646.941056,0.066897
1749505647.191039,0.067102
1749505647.441022,0.069664
1749505647.691005,0.067336
1749505647.940988,0.067263
